Feature,Linear Regression,Lasso (alpha=1),Ridge (alpha=1)
Age,0.7184502070959793,0.19734111719981107,0.8512638892990592
Weight,-2.778216866643894,0.0,-1.720934076303849
Height,-0.40128865925766966,-0.5852685185413057,-0.6605862702218736
Neck,-0.6619256180772932,-0.0,-0.6776818452221302
Chest,-0.5316782567190302,0.0,-0.5166662212159688
Abdomen,10.807311544736748,6.0852983730113595,9.931216071887206
Hip,-1.200632353687129,0.0,-1.0557158561915845
Thigh,0.7504875925346182,0.0,0.6458557438878877
Knee,0.07403490307552903,0.0,0.0978059164300459
Ankle,0.4114611059037781,-0.0,0.33175592339404486
Biceps,0.6402858263290903,0.0,0.5807540372410454
Forearm,0.29576578037617474,-0.0,0.22028854680967963
Wrist,-1.2368174388484223,-0.0,-1.3195201639770584
